Dishes,Ingredients,Diet
Aloo Baingan,"Potato, Eggplant, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric, Cumin Seeds, Coriander Powder",Vegetarian
Aloo Bhujia,"Potato, Chickpea Flour, Sunflower Oil, Cumin Seeds, Turmeric, Red Chili Powder",Vegetarian
Aloo Bonda,"Potato, Chickpea Flour, Onion, Green Chilies, Ginger, Curry Leaves, Mustard Seeds, Turmeric",Vegetarian
Aloo Chole,"Potato, Chickpeas, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric, Cumin Seeds, Coriander Powder",Vegetarian
Aloo Gobi,"Potato, Cauliflower, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric, Cumin Seeds, Coriander Powder",Vegetarian
Aloo Matar,"Potato, Green Peas, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric, Cumin Seeds, Coriander Powder",Vegetarian
Aloo Methi,"Potato, Fenugreek Leaves, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric, Cumin Seeds, Coriander Powder",Vegetarian
Aloo Palak,"Potato, Spinach, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric, Cumin Seeds, Coriander Powder",Vegetarian
Aloo Paratha,"Wheat Flour, Potato, Green Chilies, Ginger, Cumin Seeds, Coriander Leaves, Ghee",Vegetarian
Aloo Parwal,"Potato, Pointed Gourd, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric, Cumin Seeds, Coriander Powder",Vegetarian
Aloo Shimla Mirch,"Potato, Bell Pepper, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric, Cumin Seeds, Coriander Powder",Vegetarian
Aloo Tikki,"Potato, Chickpea Flour, Green Chilies, Ginger, Coriander Leaves, Cumin Powder, Chaat Masala",Vegetarian
Aloo Vada,"Potato, Chickpea Flour, Green Chilies, Ginger, Curry Leaves, Mustard Seeds, Turmeric",Vegetarian
Ambot Tik,"Mackerel Fish, Kokum, Red Chilies, Coriander Seeds, Cumin Seeds, Turmeric, Garlic, Ginger",Non-Vegetarian
Ambur Chicken Biryani,"Seeraga Samba Rice, Yogurt, Tomato, Onion, Green Chilies, Ginger, Garlic, Garam Masala, Turmeric",Non-Vegetarian
Andhra Chicken Curry,"Chicken, Onion, Tomato, Green Chilies, Ginger, Garlic, Curry Leaves, Turmeric, Red Chilies, Coriander Powder",Non-Vegetarian
Andhra Chicken Fry,"Chicken, Onion, Green Chilies, Ginger, Garlic, Curry Leaves, Turmeric, Red Chilies, Coriander Powder",Non-Vegetarian
Andhra Kodi Kura,"Chicken, Onion, Tomato, Green Chilies, Ginger, Garlic, Curry Leaves, Turmeric, Red Chilies, Coriander Powder",Non-Vegetarian
Andhra Mutton Curry,"Mutton, Onion, Tomato, Green Chilies, Ginger, Garlic, Curry Leaves, Turmeric, Red Chilies, Coriander Powder",Non-Vegetarian
Andhra Royyala Iguru,"Prawns, Onion, Tomato, Green Chilies, Ginger, Garlic, Curry Leaves, Turmeric, Red Chilies, Coriander Powder",Non-Vegetarian
Appam,"Rice Flour, Coconut Milk, Yeast, Sugar",Vegetarian
Avial,"Carrot, Beans, Pumpkin, Coconut, Curd, Curry Leaves, Coconut Oil, Turmeric",Vegetarian
Baingan Bharta,"Eggplant, Onion, Tomato, Green Chilies, Ginger, Garlic, Coriander Leaves, Cumin Seeds",Vegetarian
Balushahi,"Wheat Flour, Yogurt, Ghee, Sugar Syrup",Vegetarian
Bangladeshi Mutton Bhuna Khichuri,"Mutton, Basmati Rice, Moong Dal, Onion, Ginger, Garlic, Turmeric, Garam Masala",Non-Vegetarian
Basbousa,"Semolina, Sugar, Yogurt, Desiccated Coconut, Butter, Baking Powder, Almonds",Vegetarian
Bengali Fish Curry,"Hilsa Fish, Mustard Oil, Mustard Paste, Turmeric, Red Chilies, Tomato, Green Chilies",Non-Vegetarian
Bhakri,"Millet Flour, Salt",Vegetarian
Bharwan Bhindi,"Okra, Onion, Tomato, Green Chilies, Ginger, Garlic, Coriander Powder, Cumin Powder",Vegetarian
Bhatura,"Wheat Flour, Yogurt, Baking Powder, Sugar, Sunflower Oil",Vegetarian
Bheja Fry,"Goat Brain, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric, Red Chilies, Coriander Powder",Non-Vegetarian
Bhetki Paturi,"Bhetki Fish, Mustard Paste, Coconut, Green Chilies, Turmeric, Banana Leaves",Non-Vegetarian
Bhindi Masala,"Okra, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric, Red Chilies, Coriander Powder",Vegetarian
Bhuna Gosht,"Lamb, Onion, Tomato, Green Chilies, Ginger, Garlic, Yogurt, Garam Masala, Turmeric",Non-Vegetarian
Bhuna Kukda,"Chicken, Onion, Tomato, Green Chilies, Ginger, Garlic, Yogurt, Garam Masala, Turmeric",Non-Vegetarian
Bisi Bele Bath,"Rice, Moong Dal, Carrot, Beans, Pumpkin, Tamarind, Coconut, Turmeric, Cilantro, Cardamom",Vegetarian
Bombay Duck Fry,"Bombay Duck Fish, Gram Flour, Red Chilies, Turmeric, Coriander Powder",Non-Vegetarian
Butter Chicken,"Chicken, Butter, Tomato, Cream, Yogurt, Ginger, Garlic, Garam Masala, Turmeric",Non-Vegetarian
Cham Cham,"Paneer, Sugar, Milk, Cardamom, Saffron",Vegetarian
Chana Dal,"Chana Dal, Onion, Tomato, Ginger, Garlic, Green Chilies, Cumin Seeds, Turmeric",Vegetarian
Chana Masala,"Chickpeas, Onion, Tomato, Ginger, Garlic, Green Chilies, Cumin Seeds, Coriander Powder, Garam Masala",Vegetarian
Chandrapuli,"Rice Flour, Coconut, Jaggery, Cardamom, Ghee",Vegetarian
Chapati,"Wheat Flour, Salt",Vegetarian
Chettinad Fish Curry,"Seer Fish, Coconut, Tomato, Tamarind, Red Chilies, Ginger, Garlic, Curry Leaves",Non-Vegetarian
Chettinad Mutton Curry,"Mutton, Coconut, Onion, Tomato, Tamarind, Red Chilies, Ginger, Garlic, Curry Leaves",Non-Vegetarian
Chicken 555,"Chicken, Wheat Flour, Corn Flour, Egg, Ginger Garlic Paste, Red Chilies, Curry Leaves",Non-Vegetarian
Chicken 65,"Chicken, Wheat Flour, Corn Flour, Yogurt, Ginger Garlic Paste, Red Chilies, Curry Leaves",Non-Vegetarian
Chicken Biryani,"Basmati Rice, Chicken, Yogurt, Onion, Tomato, Ghee, Saffron, Turmeric, Cilantro, Cardamom",Non-Vegetarian
Chicken Chettinad,"Chicken, Coconut, Onion, Tomato, Tamarind, Red Chilies, Ginger, Garlic, Curry Leaves",Non-Vegetarian
Chicken Dhansak,"Chicken, Moong Dal, Onion, Tomato, Ginger, Garlic, Green Chilies, Cumin Seeds, Turmeric",Non-Vegetarian
Chicken Do Pyaza,"Chicken, Onion, Tomato, Ginger, Garlic, Green Chilies, Cumin Seeds, Coriander Powder, Garam Masala",Non-Vegetarian
Chicken Fried Rice,"Chicken, Rice, Carrot, Beans, Egg, Soy Sauce, Ginger, Garlic",Non-Vegetarian
Chicken Kaali Mirch,"Chicken, Black Pepper, Onion, Tomato, Ginger, Garlic, Cream",Non-Vegetarian
Chicken Kolhapuri,"Chicken, Coconut, Onion, Tomato, Red Chilies, Ginger, Garlic, Garam Masala, Coriander Powder",Non-Vegetarian
Chicken Korma,"Chicken, Onion, Tomato, Yogurt, Cream, Cashew Nuts, Ginger, Garlic, Garam Masala, Turmeric",Non-Vegetarian
Chicken Patiala,"Chicken, Onion, Tomato, Ginger, Garlic, Green Chilies, Garam Masala, Coriander Powder",Non-Vegetarian
Chicken Pulao,"Chicken, Basmati Rice, Onion, Tomato, Ginger, Garlic, Green Chilies, Garam Masala, Turmeric",Non-Vegetarian
Chicken Razala,"Chicken, Cream, Cashew Nuts, Onion, Ginger, Garlic, Green Chilies, Garam Masala, Coriander Powder",Non-Vegetarian
Chicken Reshmi Kebab,"Chicken, Cream, Yogurt, Cashew Nuts, Ginger, Garlic, Coriander Powder, Cumin Powder, Garam Masala",Non-Vegetarian
Chicken Rogan Josh,"Chicken, Tomato, Onion, Yogurt, Sunflower Oil, Red Chili Powder, Turmeric, Garam Masala, Coriander Powder",Non-Vegetarian
Chicken Saagwala,"Chicken, Spinach, Cream, Yogurt, Turmeric, Cumin Powder, Garam Masala",Non-Vegetarian
Chicken Tehari,"Chicken, Basmati Rice, Onion, Tomato, Ghee, Turmeric, Cumin Seeds, Cinnamon, Cardamom",Non-Vegetarian
Chicken Tikka Masala,"Chicken, Tomato, Cream, Yogurt, Garam Masala, Paprika, Coriander Powder, Cumin Powder",Non-Vegetarian
Chicken Vindaloo,"Chicken, Vinegar, Red Chilies, Cumin Seeds, Mustard Seeds, Cinnamon, clove",Non-Vegetarian
Chicken Xacuti,"Chicken, Coconut, Red Chilies, Coriander Seeds, Cumin Seeds, Black Pepper, Turmeric",Non-Vegetarian
Chole Bhature,"Chickpeas, Wheat Flour, Baking Powder, Sunflower Oil, Cumin Seeds, Coriander Powder, Garam Masala",Vegetarian
Chole Kulche,"Chickpeas, Wheat Flour, Baking Powder, Sunflower Oil, Cumin Seeds, Coriander Powder, Garam Masala",Vegetarian
Coorg Pandi Curry,"Pork, Coconut, Red Chilies, Black Pepper, Coriander Seeds, Cumin Seeds, Turmeric",Non-Vegetarian
Cumin Chicken,"Chicken, Cumin Seeds, Onion, Tomato, Ginger, Garlic, Green Chilies, Garam Masala",Non-Vegetarian
Dabba Gosht,"Mutton, Onion, Tomato, Ginger, Garlic, Green Chilies, Garam Masala, Coriander Powder",Non-Vegetarian
Dahi Chicken,"Chicken, Yogurt, Onion, Tomato, Ginger, Garlic, Green Chilies, Garam Masala",Non-Vegetarian
Dal Makhani,"Urad Dal, Rajma, Cream, Butter, Tomato, Ginger, Garlic, Garam Masala",Vegetarian
Dhokla,"Gram Flour, Semolina, Yogurt, Green Chilies, Ginger, Mustard Seeds, Curry Leaves",Vegetarian
Doi Maach,"Rohu Fish, Yogurt, Mustard Oil, Green Chilies, Ginger, Turmeric",Non-Vegetarian
Dosa,"Rice, Urad Dal, Fenugreek Seeds",Vegetarian
Dum Aloo,"Potato, Yogurt, Tomato, Onion, Ginger, Garlic, Garam Masala, Turmeric",Vegetarian
Dum ka Murgh,"Chicken, Yogurt, Cream, Onion, Tomato, Ginger, Garlic, Garam Masala, Saffron",Non-Vegetarian
Egg Curry,"Egg, Onion, Tomato, Ginger, Garlic, Green Chilies, Garam Masala",Non-Vegetarian
Gajar ka Halwa,"Carrot, Milk, Sugar, Ghee, Cardamom, Cashew Nuts",Vegetarian
Ghevar,"Wheat Flour, Ghee, Sugar Syrup, Milk, Saffron, Cashew Nuts",Vegetarian
Goan Fish Curry,"Pomfret Fish, Coconut Milk, Tamarind, Red Chilies, Coriander Seeds, Ginger, Garlic",Non-Vegetarian
Goan Pork Vindaloo,"Pork, Vinegar, Red Chilies, Garlic, Ginger, Cumin Seeds, Mustard Seeds",Non-Vegetarian
Goan Prawn Curry,"Prawns, Coconut Milk, Tamarind, Red Chilies, Coriander Seeds, Ginger, Garlic",Non-Vegetarian
Gobi Manchurian,"Cauliflower, Wheat Flour, Corn Flour, Soy Sauce, Garlic, Ginger, Green Chilies",Vegetarian
Gulab Jamun,"Khoya, Wheat Flour, Sugar, Cardamom, Rose Water",Vegetarian
Gurer Sandesh,"Cottage Cheese, Jaggery, Cardamom",Vegetarian
Hyderabadi Chicken Biryani,"Basmati Rice, Chicken, Yogurt, Onion, Tomato, Ghee, Saffron, Turmeric, Cilantro, Cardamom",Non-Vegetarian
Hyderabadi Haleem,"Wheat, Moong Dal, Urad Dal, Mutton, Ghee, Onion, Ginger, Garlic, Garam Masala",Non-Vegetarian
Idli,"Rice, Urad Dal, Fenugreek Seeds",Vegetarian
Ilish Bhaja,"Hilsa Fish, Turmeric, Salt, Mustard Oil",Non-Vegetarian
Ilish Bhapa,"Hilsa Fish, Mustard Paste, Coconut, Green Chilies, Turmeric",Non-Vegetarian
Ilish Maacher Paturi,"Hilsa Fish, Mustard Paste, Coconut, Green Chilies, Banana Leaves",Non-Vegetarian
Imarti,"Lentil Flour, Sugar Syrup, Saffron, Cardamom",Vegetarian
Jalebi,"Wheat Flour, Yogurt, Sugar Syrup, Saffron, Cardamom",Vegetarian
Jeera Rice,"Basmati Rice, Cumin Seeds, Ghee, Salt",Vegetarian
Kaacha Gola,"Sugar Syrup, Flavorings",Vegetarian
Kadai Mushroom,"Mushrooms, bell pepper, Onion, Tomato, Ginger, Garlic, Cumin Seeds, Coriander Powder",Vegetarian
Kadai Paneer,"Paneer, bell pepper, Onion, Tomato, Ginger, Garlic, Cumin Seeds, Coriander Powder",Vegetarian
Kadhi Pakora,"Gram Flour, Yogurt, Onion, Ginger, Garlic, Green Chilies, Curry Leaves, Mustard Seeds",Vegetarian
Kaju Katli,"Cashew Nuts, Sugar, Ghee, Cardamom",Vegetarian
Kala Jamun,"Khoya, Wheat Flour, Sugar, Cardamom",Vegetarian
Kaladi,"Cottage Cheese, Sugar Syrup",Vegetarian
Kalakand,"Milk, Paneer, Sugar, Cardamom",Vegetarian
Kashmiri Dum Aloo,"Baby Potato, Yogurt, Tomato, Onion, Ginger, Garlic, Cumin Seeds, Fennel Seeds",Vegetarian
Kashmiri Tabak Maaz,"Lamb, Yogurt, Ginger Powder, Fennel Powder, Garam Masala, Ghee",Non-Vegetarian
Keema Matar,"Lamb, Green Peas, Onion, Tomato, Ginger, Garlic, Cumin Seeds, Garam Masala",Non-Vegetarian
Keema Pav,"Lamb, Onion, Tomato, Ginger, Garlic, Green Chilies, Pav Bread",Non-Vegetarian
Kerala Fish Moilee,"Pomfret Fish, Coconut Milk, Curry Leaves, Ginger, Garlic, Turmeric, Green Chilies",Non-Vegetarian
Kerala Prawn Curry,"Prawns, Coconut Milk, Tamarind, Curry Leaves, Ginger, Garlic, Turmeric, Green Chilies",Non-Vegetarian
Khaja,"Wheat Flour, Ghee, Sugar Syrup",Vegetarian
Kheer,"Rice, Milk, Sugar, Cardamom, Cashew Nuts, Raisins",Vegetarian
Kheera Puli,"Cucumber, Tamarind, Jaggery, Green Chilies, Mustard Seeds, Curry Leaves",Vegetarian
Kolhapuri Chicken,"Chicken, Onion, Tomato, Ginger, Garlic, Red Chilies, Coriander Seeds, Cumin Seeds",Non-Vegetarian
Kori Gassi,"Chicken, Coconut, Tamarind, Red Chilies, Coriander Seeds, Cumin Seeds, Garlic, Ginger",Non-Vegetarian
Kozhi Varutha Curry,"Chicken, Coconut, Curry Leaves, Ginger, Garlic, Red Chilies, Coriander Seeds, Cumin Seeds",Non-Vegetarian
Kulcha,"Wheat Flour, Yogurt, Baking Powder, Baking Soda, Salt",Vegetarian
Laal Maans,"Mutton, Yogurt, Red Chilies, Garlic, Ginger, Coriander Seeds, Cumin Seeds",Non-Vegetarian
Laddu,"Gram Flour, Ghee, Sugar, Cardamom, Cashew Nuts",Vegetarian
Lamb Rogan Josh,"Lamb, Yogurt, Onion, Tomato, Ginger, Garlic, Red Chilies, Cardamom, Cinnamon",Non-Vegetarian
Lassi,"Yogurt, Sugar, Cardamom, Saffron",Vegetarian
Lemon Rice,"Rice, Lemon, Mustard Seeds, Curry Leaves, Green Chilies, Turmeric",Vegetarian
Lucknowi Mutton Biryani,"Mutton, Basmati Rice, Yogurt, Onion, Tomato, Ghee, Saffron, Turmeric, Cilantro, Cardamom",Non-Vegetarian
Maacher Tel Jhol,"Rohu Fish, Mustard Oil, Onion, Tomato, Green Chilies, Ginger, Garlic, Turmeric",Non-Vegetarian
Madras Fish Curry,"Pomfret Fish, Coconut Milk, Tamarind, Red Chilies, Coriander Seeds, Ginger, Garlic",Non-Vegetarian
Maharashtrian Mutton Rassa,"Mutton, Onion, Tomato, Ginger, Garlic, Red Chilies, Coriander Seeds, Cumin Seeds",Non-Vegetarian
Makki di Roti with Sarson da Saag,"Corn Flour, Mustard Greens, Onion, Tomato, Green Chilies, Ginger, Garlic",Vegetarian
Malabar Fish Curry,"Pomfret Fish, Coconut Milk, Tamarind, Curry Leaves, Ginger, Garlic, Turmeric",Non-Vegetarian
Malai Kofta,"Paneer, Potato, Cashew Nuts, Cream, Onion, Tomato, Ginger, Garlic",Vegetarian
Malai Murgh,"Chicken, Cream, Yogurt, Cashew Nuts, Onion, Tomato, Ginger, Garlic, Garam Masala",Non-Vegetarian
Malpua,"Wheat Flour, Milk, Sugar, Cardamom, Fennel Seeds",Vegetarian
Malvani Mutton Curry,"Mutton, Coconut, Onion, Tomato, Ginger, Garlic, Red Chilies, Coriander Seeds, Cumin Seeds",Non-Vegetarian
Mangalorean Chicken Sukka,"Chicken, Coconut, Onion, Tomato, Ginger, Garlic, Red Chilies, Coriander Seeds, Cumin Seeds",Non-Vegetarian
Mangalorean Crab Curry,"Crab, Coconut Milk, Tamarind, Red Chilies, Coriander Seeds, Ginger, Garlic",Non-Vegetarian
Mango Lassi,"Mango, Yogurt, Sugar, Cardamom",Vegetarian
Masala Dosa,"Rice, Urad Dal, Fenugreek Seeds, Potato, Onion, Mustard Seeds, Curry Leaves, Turmeric",Vegetarian
Matar Paneer,"Paneer, Green Peas, Onion, Tomato, Ginger, Garlic, Garam Masala",Vegetarian
Methi Malai Matar,"Green Peas, Fenugreek Leaves, Cream, Onion, Tomato, Ginger, Garlic, Garam Masala",Vegetarian
Misal Pav,"Moong Dal, Onion, Tomato, Farsan, Pav Bread",Vegetarian
Mishti Doi,"Milk, Sugar, Yogurt",Vegetarian
Missi Roti,"Wheat Flour, Chickpea Flour, Turmeric, Cilantro, Cardamom, Ghee",Vegetarian
Moong Dal Halwa,"Moong Dal, Ghee, Sugar, Cardamom, Cashew Nuts",Vegetarian
Mughlai Chicken,"Chicken, Cream, Yogurt, Cashew Nuts, Onion, Tomato, Ginger, Garlic, Garam Masala",Non-Vegetarian
Mughlai Paratha,"Wheat Flour, Egg, Potato, Cashew Nuts, Ghee",Non-Vegetarian
Mumbai Chicken Tawa Pulao,"Chicken, Rice, Carrot, Beans, Onion, Tomato, Ginger, Garlic, Turmeric, Cilantro, Cardamom",Non-Vegetarian
Murgh Musallam,"Whole Chicken, Yogurt, Cream, Cashew Nuts, Onion, Tomato, Ginger, Garlic, Garam Masala",Non-Vegetarian
Muri Ghonto,"Rohu Fish, Rice, Moong Dal, Ginger, Garlic, Garam Masala, Turmeric",Non-Vegetarian
Mushroom Matar,"Mushrooms, Green Peas, Onion, Tomato, Ginger, Garlic, Garam Masala",Vegetarian
Mutton Biryani,"Mutton, Basmati Rice, Yogurt, Onion, Tomato, Ghee, Saffron, Turmeric, Cilantro, Cardamom",Non-Vegetarian
Mutton Curry,"Mutton, Onion, Tomato, Ginger, Garlic, Red Chilies, Coriander Seeds, Cumin Seeds",Non-Vegetarian
Mutton Do Pyaza,"Mutton, Onion, Tomato, Ginger, Garlic, Red Chilies, Coriander Seeds, Cumin Seeds",Non-Vegetarian
Mutton Korma,"Mutton, Yogurt, Cream, Cashew Nuts, Onion, Tomato, Ginger, Garlic, Garam Masala",Non-Vegetarian
Mutton Kosha,"Mutton, Onion, Tomato, Ginger, Garlic, Red Chilies, Coriander Seeds, Cumin Seeds, Bay leaves",Non-Vegetarian
Mutton Paya,"Mutton Trotters, Onion, Tomato, Ginger, Garlic, Red Chilies, Coriander Seeds, Cumin Seeds",Non-Vegetarian
Mutton Stew,"Mutton, Potato, Carrot, Onion, Tomato, Ginger, Garlic, Turmeric, Cilantro, Cardamom, bay leaves",Non-Vegetarian
Mysore Pak,"Chickpea Flour, Ghee, Sugar",Vegetarian
Naan,"Wheat Flour, Yogurt, Yeast, Ghee",Vegetarian
Nankhatai,"Wheat Flour, Ghee, Sugar, Cardamom",Vegetarian
Nihari Gosht,"Lamb, Onion, Tomato, Ginger, Garlic, Red Chilies, Coriander Seeds, Cumin Seeds",Non-Vegetarian
Pabda Jhal,"Pabda Fish, Mustard Paste, Tomato, Green Chilies, Turmeric, Mustard Oil",Non-Vegetarian
Palak Paneer,"Paneer, Spinach, Onion, Tomato, Ginger, Garlic, Garam Masala",Vegetarian
Paneer Bhurji,"Paneer, Onion, Tomato, Ginger, Garlic, Green Chilies, Turmeric",Vegetarian
Paneer Butter Masala,"Paneer, Tomato, Cream, Cashew Nuts, Onion, Ginger, Garlic, Garam Masala",Vegetarian
Paneer Kofta,"Paneer, Potato, Cashew Nuts, Cream, Onion, Tomato, Ginger, Garlic",Vegetarian
Paneer Pakora,"Paneer, Chickpea Flour, Turmeric, Cilantro, Cardamom, Sunflower Oil",Vegetarian
Paneer Pasanda,"Paneer, Cashew Nuts, Cream, Yogurt, Onion, Tomato, Ginger, Garlic",Vegetarian
Paneer Tikka Masala,"Paneer, Tomato, Cream, Cashew Nuts, Onion, Ginger, Garlic, Garam Masala",Vegetarian
Pani Puri,"Semolina, Potato, Chickpeas, Tamarind, Mint leaves, Coriander Leaves",Vegetarian
Pantua,"Cottage Cheese, Sugar, Ghee, Cardamom, Almonds",Vegetarian
Papri Chaat,"Papri, Potato, Chickpeas, Yogurt, Tamarind, Mint powder, Coriander Powder",Vegetarian
Paratha,"Wheat Flour, Ghee, Salt",Vegetarian
Parsi Sali Boti,"Lamb, Potato, Onion, Tomato, Ginger, Garlic, Red Chilies",Non-Vegetarian
Patishapta,"Rice Flour, Coconut, Khoya, Jaggery, Cardamom",Vegetarian
Patra Ni Machhi,"Fish Fillets, Coriander Leaves, Coconut, Green Chilies, Banana Leaves",Non-Vegetarian
Pav Bhaji,"Potato, Cauliflower, Peas, Capsicum, Pav Bread, Butter, Turmeric, Cilantro, Cardamom",Vegetarian
Payasam,"Rice, Milk, Sugar, Cardamom, Cashew Nuts",Vegetarian
Pesarattu,"Moong Dal, Rice, Green Chilies, Ginger, Cumin Seeds",Vegetarian
Petha,"Ash Gourd, Sugar, Cardamom",Vegetarian
Phirni,"Rice, Milk, Sugar, Saffron, Cardamom",Vegetarian
Pindi Chole,"Chickpeas, Onion, Tomato, Ginger, Garlic, Green Chilies, Garam Masala",Vegetarian
Pongal,"Rice, Moong Dal, Ghee, Cashew Nuts, Cumin Seeds",Vegetarian
Prawn Curry,"Prawns, Onion, Tomato, Ginger, Garlic, Green Chilies, Turmeric, Coconut Milk",Non-Vegetarian
Prawn Do Pyaza,"Prawns, Onion, Tomato, Ginger, Garlic, Green Chilies, Turmeric, Garam Masala",Non-Vegetarian
Prawn Gassi,"Prawns, Coconut Milk, Tamarind, Red Chilies, Coriander Seeds, Ginger, Garlic",Non-Vegetarian
Prawn Malai Curry,"Prawns, Coconut Milk, Cashew Nuts, Onion, Tomato, Ginger, Garlic, Green Chilies",Non-Vegetarian
Prawn Masala,"Prawns, Onion, Tomato, Ginger, Garlic, Green Chilies, Turmeric, Garam Masala",Non-Vegetarian
Prawn Vindaloo,"Prawns, Vinegar, Red Chilies, Cumin Seeds, Mustard Seeds, Cinnamon, clove",Non-Vegetarian
Punjabi Fish Tikka,"Fish Fillets, Yogurt, Gram Flour, Turmeric, Cilantro, Cardamom, Lemon",Non-Vegetarian
Puri,"Wheat Flour, Sunflower Oil",Vegetarian
Rabri,"Milk, Sugar, Saffron, Cardamom, Cashew Nuts",Vegetarian
Rajasthani Gatte ki Sabzi,"Chickpea Flour, Yogurt, Sunflower Oil, Turmeric, Cilantro, Cardamom",Vegetarian
Rajbhog,"Cottage Cheese, Sugar, Milk, Saffron, Cardamom",Vegetarian
Rajma Chawal,"Rajma, Rice, Onion, Tomato, Ginger, Garlic, Garam Masala",Vegetarian
Rasam,"Tamarind, Tomato, Garlic, Cumin Seeds, Black Pepper, Curry Leaves",Vegetarian
Rasgulla,"Cottage Cheese, Sugar, Cardamom",Vegetarian
Rasmalai,"Cottage Cheese, Milk, Sugar, Saffron, Cardamom",Vegetarian
Rui Macher Kalia,"Rohu Fish, Onion, Tomato, Ginger, Garlic, Green Chilies, Turmeric, Garam Masala",Non-Vegetarian
Sabudana Khichdi,"Sabudana, Potato, Peanuts, Green Chilies, Cumin Seeds",Vegetarian
Sambar,"Toor Dal, Carrot, Potato, Drumstick, Tamarind, Sambar Powder, Curry Leaves",Vegetarian
Samosa,"Wheat Flour, Potato, Peas, Turmeric, Cilantro, Cardamom, Sunflower Oil",Vegetarian
Sandesh,"Cottage Cheese, Sugar, Cardamom, Cashew Nuts, Almonds",Vegetarian
Sarson ka Saag,"Mustard Greens, Spinach, Onion, Tomato, Ginger, Garlic, Green Chilies",Vegetarian
Shahi Paneer,"Paneer, Onion, Tomato, Cashew Nuts, Cream, Ginger, Garlic, Garam Masala",Vegetarian
Shahi Paneer Korma,"Paneer, Onion, Tomato, Cashew Nuts, Cream, Ghee, Saffron, Turmeric, Cilantro, Cardamom",Vegetarian
Shahi Tukda,"Bread, Milk, Sugar, Saffron, Cardamom, Cashew Nuts",Vegetarian
Sheera,"Semolina, Ghee, Sugar, Cardamom, Cashew Nuts",Vegetarian
Shorshe Ilish,"Hilsa Fish, Mustard Paste, Green Chilies, Turmeric, Mustard Oil",Non-Vegetarian
Sindhi Kadhi,"Gram Flour, Okra, Drumstick, Tamarind, Turmeric, Cilantro, Cardamom",Non-Vegetarian
Singori,"Khoya, Coconut, Jaggery",Vegetarian
Soan Papdi,"Gram Flour, Ghee, Sugar, Cardamom",Vegetarian
Sohan Halwa,"Corn Flour, Ghee, Sugar, Cashew Nuts",Vegetarian
Soya Chaap,"Soya Chunks, Yogurt, Turmeric, Cilantro, Cardamom, Sunflower Oil",Vegetarian
Sweet Boondi,"Chickpea Flour, Sunflower Oil, Sugar",Vegetarian
Tandoori Prawn,"Prawns, Yogurt, Tandoori Masala, Lemon, Sunflower Oil",Non-Vegetarian
Tandoori Roti,"Wheat Flour, Yogurt, Salt, Baking Powder",Vegetarian
Tawa Mutton,"Mutton, Onion, Tomato, Ginger, Garlic, Red Chilies, Coriander Seeds, Cumin Seeds",Non-Vegetarian
Tawa Pulao,"Rice, Carrot, Peas, Capsicum, Onion, Tomato, Ginger, Garlic, Turmeric, Cilantro, Cardamom",Vegetarian
Thepla,"Wheat Flour, Fenugreek Leaves, Turmeric, Cilantro, Cardamom, Sunflower Oil",Vegetarian
Upma,"Semolina, Carrot, Peas, Mustard Seeds, Curry Leaves",Vegetarian
Vada,"Urad Dal, Green Chilies, Ginger, Curry Leaves",Vegetarian
Veg Manchurian,"Cabbage, Carrot, Wheat Flour, Corn Flour, Soy Sauce, Garlic, Ginger, Green Chilies",Vegetarian
Vegetable Jalfrezi,"Bell pepper, Cauliflower, Carrot, Onion, Tomato, Ginger, Garlic, Turmeric, Cilantro, Cardamom",Vegetarian
